,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,785.87B",-1.34%,48737558,307.39B
1,META,"Meta Platforms, Inc.","1,253.88B",-1.57%,28586520,134.90B
2,NFLX,"Netflix, Inc.",265.29B,-1.16%,6583161,33.72B
3,DIS,The Walt Disney Company,205.55B,-0.10%,9742053,88.94B
4,TMUS,"T-Mobile US, Inc.",193.89B,-0.64%,9770376,78.56B
5,CMCSA,Comcast Corporation,170.08B,-0.12%,44796653,121.57B
6,VZ,Verizon Communications Inc.,167.20B,-0.70%,19469037,133.97B
7,T,AT&T Inc.,121.67B,0.24%,34019370,122.43B
8,RELX,RELX PLC,81.12B,-0.46%,939937,11.60B
9,NTES,"NetEase, Inc.",69.15B,-0.56%,921604,14.59B
10,AMX,"América Móvil, SAB de CV",60.92B,-2.99%,1690525,36.83B
11,DASH,"DoorDash, Inc.",53.84B,-1.51%,3671496,8.64B
12,SPOT,Spotify Technology S.A.,51.00B,-0.87%,1103452,14.72B
13,CHTR,"Charter Communications, Inc.",43.13B,-2.14%,2478305,54.61B
14,BIDU,"Baidu, Inc.",37.08B,-0.75%,1954336,18.98B
15,EA,Electronic Arts Inc.,36.10B,-0.56%,3794497,7.66B
16,BCE,BCE Inc.,31.20B,1.06%,2349990,18.55B
17,ORAN,Orange S.A.,30.32B,0.88%,358245,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",29.96B,0.03%,58029,7.26B
19,RBLX,Roblox Corporation,25.49B,-3.47%,5694513,2.80B
20,TLK,Telkom Indonesia (Persero) Tbk PT,25.04B,0.12%,100054,9.48B
21,TU,TELUS Corporation,24.48B,0.36%,3159021,15.12B
22,TTWO,"Take-Two Interactive Software, Inc.",24.33B,0.10%,3695126,5.40B
23,LYV,"Live Nation Entertainment, Inc.",23.87B,0.35%,2176220,22.75B
24,PINS,"Pinterest, Inc.",23.13B,0.35%,5484477,3.06B
25,VOD,Vodafone Group PLC,23.05B,3.89%,29354042,47.57B
26,RCI,Rogers Communications Inc.,22.87B,-,459910,14.52B
27,WBD,"Warner Bros. Discovery, Inc.",20.81B,0.12%,45869075,41.32B
28,SNAP,Snap Inc.,18.84B,-1.76%,20416600,4.61B
29,TME,Tencent Music Entertainment Group,18.58B,-1.15%,3161828,3.89B
30,OMC,Omnicom Group Inc.,18.34B,-0.40%,1807966,14.69B
31,VIV,Telefônica Brasil S.A.,17.55B,-1.80%,439052,10.70B
32,WMG,Warner Music Group Corp.,17.06B,-0.03%,1223334,6.30B
33,FWONA,Formula One Group - Series A,16.20B,-1.55%,266676,12.53B
34,FWONK,Formula One Group - Series C,16.00B,-1.23%,860887,-
35,SIRI,Sirius XM Holdings Inc.,15.68B,-0.74%,23458953,8.95B
36,NWSA,News Corporation,15.01B,-2.22%,5870302,9.97B
37,FOXA,Fox Corporation,13.31B,0.78%,5016669,14.56B
38,Z,"Zillow Group, Inc.",12.76B,-13.49%,22725050,1.95B
39,IPG,"The Interpublic Group of Companies, Inc.",12.37B,-0.83%,4843116,10.89B
