,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,856.75B",-2.42%,70180147,574.79B
1,TSLA,"Tesla, Inc.",517.53B,0.66%,96480026,96.77B
2,HD,"The Home Depot, Inc.",373.28B,-0.54%,2934473,152.67B
3,TM,Toyota Motor Corporation,312.00B,1.58%,178930,308.27B
4,MCD,McDonald's Corporation,203.42B,-0.92%,3414586,25.49B
5,BABA,Alibaba Group Holding Limited,184.26B,0.03%,9567290,130.82B
6,PDD,PDD Holdings Inc.,163.68B,0.44%,9471223,27.31B
7,NKE,"NIKE, Inc.",151.91B,-0.62%,8501261,51.54B
8,LOW,"Lowe's Companies, Inc.",140.42B,0.04%,5286823,86.38B
9,BKNG,Booking Holdings Inc.,119.99B,-2.78%,769645,21.37B
10,TJX,"The TJX Companies, Inc.",112.41B,-1.10%,6709627,54.22B
11,ABNB,"Airbnb, Inc.",106.25B,-3.48%,7003277,9.92B
12,SBUX,Starbucks Corporation,103.78B,-1.68%,18025458,36.69B
13,STLA,Stellantis N.V.,85.88B,3.64%,6384761,210.60B
14,MELI,"MercadoLibre, Inc.",78.98B,-3.96%,610553,14.47B
15,RACE,Ferrari N.V.,75.95B,0.99%,194147,6.63B
16,CMG,"Chipotle Mexican Grill, Inc.",75.37B,0.29%,226068,9.87B
17,MAR,"Marriott International, Inc.",71.79B,-1.58%,3686125,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",65.94B,-0.33%,531504,15.81B
19,LULU,Lululemon Athletica Inc.,59.31B,-1.08%,1673008,9.19B
20,HMC,"Honda Motor Co., Ltd.",57.08B,2.33%,1121828,136.70B
21,CPRT,"Copart, Inc.",54.25B,-0.51%,10382323,4.06B
22,AZO,"AutoZone, Inc.",54.00B,0.17%,255222,17.83B
23,HLT,Hilton Worldwide Holdings Inc.,52.18B,-1.09%,1656328,10.24B
24,DHI,"D.R. Horton, Inc.",49.88B,0.91%,6001579,35.93B
25,ROST,"Ross Stores, Inc.",49.16B,-0.62%,4011630,20.38B
26,F,Ford Motor Company,48.00B,-0.17%,88149044,176.19B
27,GM,General Motors Company,45.46B,3.33%,21134951,171.84B
28,JD,"JD.com, Inc.",42.40B,1.48%,17519173,152.98B
29,LEN,Lennar Corporation,42.18B,2.43%,3278473,35.06B
30,LI,Li Auto Inc.,39.52B,2.66%,5131738,17.47B
31,LVS,Las Vegas Sands Corp.,39.46B,-2.54%,4239866,10.37B
32,YUM,"Yum! Brands, Inc.",38.59B,-0.23%,3876904,7.08B
33,FLUT,Flutter Entertainment plc,38.09B,-3.06%,121483,9.28B
34,QSR,Restaurant Brands International Inc.,36.37B,-3.10%,1272315,7.02B
35,SE,Sea Limited,34.55B,-4.31%,5432362,13.06B
36,CPNG,"Coupang, Inc.",33.10B,-2.05%,27050677,24.38B
37,RCL,Royal Caribbean Cruises Ltd.,33.03B,0.16%,2944262,13.90B
38,TCOM,Trip.com Group Limited,28.25B,-1.03%,2473318,6.28B
39,ULTA,"Ulta Beauty, Inc.",27.46B,-5.21%,2878385,10.88B
40,TSCO,Tractor Supply Company,27.40B,1.29%,1455695,14.56B
41,EBAY,eBay Inc.,27.07B,-0.10%,11454853,10.11B
42,NVR,"NVR, Inc.",24.35B,0.08%,35661,9.31B
43,DECK,Deckers Outdoor Corporation,23.95B,-2.49%,473747,4.12B
44,PHM,"PulteGroup, Inc.",23.27B,1.08%,1675791,16.06B
45,ROL,"Rollins, Inc.",22.39B,0.89%,1336857,3.07B
46,MBLY,Mobileye Global Inc.,22.29B,-2.53%,4889356,2.08B
47,GPC,Genuine Parts Company,21.17B,1.18%,870918,23.09B
48,CCL,Carnival Corporation & plc,21.16B,0.37%,21803702,21.59B
49,APTV,Aptiv PLC,20.78B,1.36%,1989490,20.05B
50,DRI,"Darden Restaurants, Inc.",20.51B,0.11%,2324213,11.01B
51,BALL,Ball Corporation,20.36B,-0.91%,3235513,14.03B
52,DKNG,DraftKings Inc.,19.57B,-0.78%,8624302,3.67B
53,EXPE,"Expedia Group, Inc.",18.50B,-1.67%,3508236,12.84B
54,WSM,"Williams-Sonoma, Inc.",18.32B,-0.66%,1266089,7.75B
55,DKS,"DICK'S Sporting Goods, Inc.",17.72B,-2.46%,4808832,12.70B
56,IHG,InterContinental Hotels Group PLC,17.49B,-0.90%,260691,4.62B
57,BBY,"Best Buy Co., Inc.",16.68B,0.72%,2423032,43.45B
58,YUMC,"Yum China Holdings, Inc.",16.60B,-0.64%,4271267,10.98B
59,PKG,Packaging Corporation of America,16.40B,-0.05%,531596,7.80B
60,H,Hyatt Hotels Corporation,16.07B,-1.62%,564172,6.67B
61,DPZ,"Domino's Pizza, Inc.",15.45B,-0.55%,495049,4.48B
62,MGA,Magna International Inc.,15.01B,0.90%,830283,42.80B
63,BURL,"Burlington Stores, Inc.",14.27B,-0.20%,471794,9.73B
64,MGM,MGM Resorts International,13.77B,0.26%,3605099,16.16B
65,LKQ,LKQ Corporation,13.70B,0.25%,2902238,13.87B
66,AMCR,Amcor plc,13.63B,0.53%,21853100,14.03B
67,CVNA,Carvana Co.,13.57B,3.78%,5880464,10.77B
68,FND,"Floor & Decor Holdings, Inc.",12.95B,-0.56%,1009198,4.41B
69,KMX,"CarMax, Inc.",12.78B,-0.25%,1127344,26.63B
70,VFS,VinFast Auto Ltd.,12.57B,2.66%,1815377,1.16B
71,IP,International Paper Company,12.53B,0.44%,4939155,18.92B
72,TOL,"Toll Brothers, Inc.",12.31B,1.79%,1441500,10.16B
73,HTHT,H World Group Limited,12.31B,1.06%,3218248,2.75B
74,WRK,WestRock Company,12.23B,1.40%,2268041,20.01B
75,NIO,NIO Inc.,12.08B,-,33467876,7.84B
76,RL,Ralph Lauren Corporation,11.65B,-0.36%,797874,6.60B
77,WYNN,"Wynn Resorts, Limited",11.32B,-1.89%,4228216,6.53B
78,FIVE,"Five Below, Inc.",11.12B,0.01%,895575,3.34B
79,CASY,"Casey's General Stores, Inc.",11.01B,2.66%,624979,14.59B
80,TPR,"Tapestry, Inc.",10.86B,-1.08%,2640579,6.73B
81,SCI,Service Corporation International,10.62B,-0.34%,826817,4.10B
82,RIVN,"Rivian Automotive, Inc.",10.45B,3.27%,48057724,4.43B
83,ONON,On Holding AG,10.42B,1.68%,4023640,2.13B
84,BBWI,"Bath & Body Works, Inc.",10.37B,-0.59%,1916527,7.43B
85,PAG,"Penske Automotive Group, Inc.",10.33B,1.03%,139370,29.53B
86,WING,Wingstop Inc.,10.29B,-0.73%,761553,460.06M
87,TXRH,"Texas Roadhouse, Inc.",10.22B,-0.44%,821488,4.63B
88,ALV,"Autoliv, Inc.",10.03B,-1.12%,612393,10.48B
89,XPEV,XPeng Inc.,9.53B,2.66%,8415782,3.13B
90,VIPS,Vipshop Holdings Limited,9.43B,-0.29%,3750696,15.92B
91,SKX,"Skechers U.S.A., Inc.",9.41B,-0.83%,1106309,8.00B
92,TPX,"Tempur Sealy International, Inc.",9.38B,-2.68%,2244190,4.93B
93,CCK,"Crown Holdings, Inc.",9.33B,0.60%,1679622,12.01B
94,LNW,"Light & Wonder, Inc.",9.04B,-0.79%,990775,2.90B
95,BIRK,Birkenstock Holding plc,8.99B,1.42%,297618,1.68B
96,CZR,"Caesars Entertainment, Inc.",8.70B,-1.88%,5442157,11.53B
97,MUSA,Murphy USA Inc.,8.60B,2.07%,157955,21.53B
98,CHDN,Churchill Downs Incorporated,8.59B,1.38%,960514,2.46B
99,GPS,"The Gap, Inc.",8.53B,2.57%,15402403,14.83B
100,GPK,Graphic Packaging Holding Company,8.51B,-0.54%,2573940,9.43B
101,MTN,"Vail Resorts, Inc.",8.38B,-0.95%,519516,2.84B
102,GNTX,Gentex Corporation,8.32B,-0.61%,2125448,2.30B
103,NCLH,Norwegian Cruise Line Holdings Ltd.,8.23B,0.36%,6604269,8.55B
104,AS,"Amer Sports, Inc.",8.13B,-,461434,4.37B
105,ETSY,"Etsy, Inc.",8.04B,-1.72%,6711699,2.75B
106,SN,"SharkNinja, Inc.",8.02B,0.73%,518229,4.25B
107,LEA,Lear Corporation,7.99B,0.06%,541183,23.47B
108,LAD,"Lithia Motors, Inc.",7.88B,-0.20%,165088,31.04B
109,PVH,PVH Corp.,7.83B,-0.27%,903920,9.22B
110,CROX,"Crocs, Inc.",7.62B,1.73%,1485886,3.96B
111,W,Wayfair Inc.,7.53B,-2.60%,2346291,12.00B
112,MHK,"Mohawk Industries, Inc.",7.45B,0.75%,477625,11.14B
113,CHWY,"Chewy, Inc.",7.44B,0.87%,6227519,11.01B
114,BWA,BorgWarner Inc.,7.36B,0.28%,5420243,14.20B
115,HAS,"Hasbro, Inc.",7.35B,0.64%,3372874,5.00B
116,LEVI,Levi Strauss & Co.,7.29B,-0.71%,1186252,6.18B
117,CAVA,"CAVA Group, Inc.",7.26B,0.72%,1490012,728.70M
118,BROS,Dutch Bros Inc.,7.16B,0.47%,936345,965.78M
119,DDS,"Dillard's, Inc.",7.11B,-2.59%,139951,6.87B
120,MMYT,MakeMyTrip Limited,6.96B,0.27%,1091973,728.16M
121,BERY,"Berry Global Group, Inc.",6.95B,-0.42%,1996109,12.46B
122,MAT,"Mattel, Inc.",6.81B,-0.52%,9821235,5.44B
123,ALSN,"Allison Transmission Holdings, Inc.",6.71B,0.37%,363300,3.04B
124,BFAM,Bright Horizons Family Solutions Inc.,6.63B,-0.98%,196371,2.42B
