,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,491.38B,-,3048688,648.13B
1,PG,The Procter & Gamble Company,380.01B,-0.07%,9822661,83.93B
2,COST,Costco Wholesale Corporation,324.62B,-0.86%,3376713,248.83B
3,KO,The Coca-Cola Company,260.90B,-1.02%,15960942,45.75B
4,PEP,"PepsiCo, Inc.",226.48B,-0.07%,21694698,91.47B
5,FMX,"Fomento Económico Mexicano, SAB de CV",223.50B,2.16%,1751385,34.56B
6,PM,Philip Morris International Inc.,145.85B,0.34%,6967058,35.17B
7,BUD,Anheuser-Busch InBev SA/NV,125.94B,-0.34%,4635808,59.38B
8,UL,Unilever PLC,125.17B,-0.69%,2105691,66.90B
9,MDLZ,"Mondelez International, Inc.",95.55B,-0.30%,16431688,36.02B
10,DEO,Diageo plc,82.90B,0.34%,612780,21.66B
11,MO,"Altria Group, Inc.",78.09B,-0.93%,15983758,24.48B
12,TGT,Target Corporation,75.86B,-0.05%,2667879,107.41B
13,CL,Colgate-Palmolive Company,72.73B,0.11%,4145259,19.46B
14,BTI,British American Tobacco p.l.c.,68.55B,-0.56%,6084524,34.54B
15,MNST,Monster Beverage Corporation,63.15B,0.25%,8055448,7.14B
16,EL,The Estée Lauder Companies Inc.,54.79B,-2.02%,2243932,15.16B
17,STZ,"Constellation Brands, Inc.",47.68B,2.61%,1715879,9.82B
18,KMB,Kimberly-Clark Corporation,42.05B,-0.27%,4735075,20.43B
19,KHC,The Kraft Heinz Company,41.54B,0.15%,12653833,26.64B
20,ABEV,Ambev S.A.,40.52B,-0.79%,13727818,16.37B
21,KR,The Kroger Co.,40.20B,0.99%,4304108,150.04B
22,SYY,Sysco Corporation,40.06B,1.11%,2278025,77.51B
23,HSY,The Hershey Company,39.78B,-0.78%,2958438,11.16B
24,KDP,Keurig Dr Pepper Inc.,39.23B,-0.41%,25572544,14.81B
25,KVUE,Kenvue Inc.,38.43B,1.35%,22060730,15.44B
26,GIS,"General Mills, Inc.",37.23B,1.85%,3372642,20.20B
27,CCEP,Coca-Cola Europacific Partners PLC,33.62B,-1.46%,2927104,20.34B
28,DG,Dollar General Corporation,32.94B,1.26%,3993658,38.69B
29,ADM,Archer-Daniels-Midland Company,29.68B,1.89%,12357870,93.94B
30,DLTR,"Dollar Tree, Inc.",27.28B,1.75%,5970273,29.68B
31,BF.A,Brown-Forman Corporation,25.69B,0.79%,52379,4.26B
32,CHD,"Church & Dwight Co., Inc.",25.45B,-0.04%,1578377,5.87B
33,CELH,"Celsius Holdings, Inc.",21.76B,-0.60%,4011171,1.32B
34,KOF,"Coca-Cola FEMSA, SAB de CV",21.11B,-1.31%,215015,597.02M
35,TSN,"Tyson Foods, Inc.",20.01B,0.18%,3774251,52.94B
36,CLX,The Clorox Company,18.82B,-0.99%,1713542,7.31B
37,HRL,Hormel Foods Corporation,18.47B,1.25%,2512016,12.14B
38,MKC,"McCormick & Company, Incorporated",18.23B,0.28%,1453548,6.66B
39,MKC.V,"McCormick & Company, Incorporated",18.10B,-0.76%,223,6.66B
40,K,Kellanova Co,18.09B,1.17%,5439497,13.12B
41,EDU,New Oriental Education & Technology Group Inc.,15.40B,-1.69%,484689,3.58B
42,LW,"Lamb Weston Holdings, Inc.",14.62B,0.72%,682407,6.35B
43,TAP.A,Molson Coors Beverage Company,14.07B,-,136,11.70B
44,TAP,Molson Coors Beverage Company,14.01B,2.34%,2337797,11.70B
45,BG,Bunge Limited,13.69B,1.43%,6121954,59.54B
46,CAG,"Conagra Brands, Inc.",13.34B,0.61%,10664047,12.17B
47,USFD,US Foods Holding Corp.,13.10B,0.22%,1123605,35.60B
48,SJM,The J. M. Smucker Company,12.92B,0.29%,1334269,8.21B
49,CPB,Campbell Soup Company,12.51B,1.79%,4775766,9.27B
50,ACI,"Albertsons Companies, Inc.",11.85B,0.87%,3130428,79.16B
51,PFGC,Performance Food Group Company,11.73B,0.41%,576577,57.87B
52,ELF,"e.l.f. Beauty, Inc.",11.14B,-0.46%,1648062,890.15M
53,COTY,Coty Inc.,11.04B,0.08%,2180334,6.01B
