,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,442.30B,-0.18%,32264264,344.58B
1,CVX,Chevron Corporation,289.18B,-0.10%,8560931,200.95B
2,SHEL,Shell plc,210.74B,0.12%,3881618,386.20B
3,TTE,TotalEnergies SE,158.63B,0.04%,1403037,218.95B
4,COP,Conoco Phillips,140.91B,0.22%,14305244,58.57B
5,BP,BP p.l.c.,105.78B,-,6322232,213.03B
6,PBR.A,Petróleo Brasileiro S.A. - Petrobras,94.78B,-0.41%,4970761,124.47B
7,PBR,Petróleo Brasileiro S.A. - Petrobras,94.76B,-1.22%,18392553,124.47B
8,CNQ,Canadian Natural Resources Limited,79.20B,-1.40%,1603232,27.04B
9,EQNR,Equinor ASA,77.23B,-0.08%,4004934,150.81B
10,SLB,Schlumberger Limited,76.15B,-0.68%,9142669,33.14B
11,ENB,Enbridge Inc.,75.82B,-0.42%,3625310,32.82B
12,EOG,"EOG Resources, Inc.",71.80B,-0.81%,4107486,24.19B
13,MPC,Marathon Petroleum Corporation,68.29B,2.57%,3668143,150.31B
14,PSX,Phillips 66,66.05B,3.01%,4762533,149.89B
15,EPD,Enterprise Products Partners L.P.,62.47B,-,4063225,49.72B
16,PXD,Pioneer Natural Resources Company,58.52B,-0.20%,2060129,19.36B
17,OXY,Occidental Petroleum Corporation,55.04B,0.11%,6817294,28.92B
18,VLO,Valero Energy Corporation,52.99B,2.70%,4866346,144.77B
19,E,Eni S.p.A.,51.92B,-0.44%,254630,142.22B
20,ET,Energy Transfer LP,50.65B,1.99%,9763133,78.59B
21,SU,Suncor Energy Inc.,46.66B,0.03%,3574019,38.15B
22,HES,Hess Corporation,46.28B,0.42%,2425869,10.65B
23,OKE,"ONEOK, Inc.",44.97B,-0.14%,2945363,17.68B
24,WMB,"The Williams Companies, Inc.",44.87B,0.33%,9037393,10.91B
25,TRP,TC Energy Corporation,42.12B,-0.40%,1584879,11.98B
26,MPLX,MPLX LP,40.83B,0.05%,1793426,11.28B
27,KMI,"Kinder Morgan, Inc.",38.97B,0.23%,16884919,15.33B
28,LNG,"Cheniere Energy, Inc.",37.08B,2.09%,2332134,20.39B
29,WDS,Woodside Energy Group Ltd,36.67B,1.51%,749308,13.99B
30,IMO,Imperial Oil Limited,36.50B,-0.37%,346498,38.32B
31,CVE,Cenovus Energy Inc.,35.01B,-0.38%,11371975,39.25B
32,FANG,"Diamondback Energy, Inc.",33.82B,0.23%,3345280,8.41B
33,HAL,Halliburton Company,33.48B,0.32%,7389234,23.02B
34,BKR,Baker Hughes Company,32.19B,1.19%,15090715,25.51B
35,DVN,Devon Energy Corporation,30.39B,-0.50%,15617924,15.26B
36,TRGP,Targa Resources Corp.,23.57B,0.31%,1144209,16.06B
37,CQP,"Cheniere Energy Partners, L.P.",23.16B,1.44%,328714,11.70B
38,EC,Ecopetrol S.A.,22.44B,2.41%,3763727,32.91B
39,TS,Tenaris S.A.,22.18B,-0.21%,1337073,14.87B
40,CTRA,Coterra Energy Inc.,20.00B,-0.68%,15993710,5.91B
41,PBA,Pembina Pipeline Corporation,19.36B,-0.23%,789462,6.86B
42,CCJ,Cameco Corporation,17.43B,2.90%,6113368,1.95B
43,EQT,EQT Corporation,14.89B,-1.04%,21860932,6.91B
44,MRO,Marathon Oil Corporation,14.82B,0.95%,11408988,6.70B
45,OVV,Ovintiv Inc.,13.73B,-0.81%,3373880,10.88B
46,WES,"Western Midstream Partners, LP",12.77B,2.98%,1368944,3.11B
47,PR,Permian Resources Corporation,12.61B,0.61%,17823332,3.12B
48,TPL,Texas Pacific Land Corporation,12.44B,1.44%,14717,631.60M
49,PAA,"Plains All American Pipeline, L.P.",11.64B,1.87%,2827721,48.71B
50,DINO,HF Sinclair Corporation,11.57B,1.87%,11748139,31.96B
51,CHK,Chesapeake Energy Corporation,11.04B,-1.10%,6467948,8.72B
52,FTI,TechnipFMC plc,10.41B,2.12%,5701450,7.82B
53,APA,APA Corporation,9.79B,-1.45%,20347036,8.19B
54,YPF,YPF SA,8.73B,0.33%,2426424,18.76B
55,WFRD,Weatherford International plc,8.15B,0.17%,1087948,5.14B
56,HESM,Hess Midstream LP,7.98B,-0.34%,1100352,1.35B
57,AR,Antero Resources Corporation,7.95B,-1.41%,3440647,4.68B
58,MTDR,Matador Resources Company,7.92B,0.26%,1339019,2.81B
59,SWN,Southwestern Energy Company,7.81B,-0.56%,12949419,6.52B
60,RRC,Range Resources Corporation,7.78B,-0.34%,2229148,3.37B
61,NOV,NOV Inc.,7.36B,-0.64%,2800000,8.58B
62,CIVI,"Civitas Resources, Inc.",7.10B,1.61%,5290590,3.48B
63,CHRD,Chord Energy Corporation,6.80B,1.13%,2351023,3.90B
64,NE,Noble Corporation,6.74B,0.38%,1582276,2.59B
65,MUR,Murphy Oil Corporation,6.63B,-0.05%,1566818,3.46B
66,PBF,PBF Energy Inc.,6.54B,3.58%,3408117,38.32B
67,VNOM,Viper Energy Partners LP,6.41B,-0.75%,4558922,827.70M
68,AM,Antero Midstream Corporation,6.40B,-0.22%,2582399,1.04B
69,UGP,Ultrapar Participações S.A.,6.28B,-0.52%,1289925,27.15B
70,CHX,ChampionX Corporation,6.22B,0.95%,3080987,3.76B
71,CSAN,Cosan S.A.,6.19B,-1.51%,180444,8.15B
72,ENLC,"EnLink Midstream, LLC",5.74B,1.97%,1564164,6.90B
73,DTM,"DT Midstream, Inc.",5.64B,0.34%,725398,922.00M
74,VVV,Valvoline Inc.,5.58B,1.30%,2817230,1.48B
75,SM,SM Energy Company,5.40B,0.28%,3424273,2.37B
