,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,877.57B,0.34%,4269084,439.34B
1,V,Visa Inc.,588.31B,-1.18%,5096646,33.35B
2,JPM,JPMorgan Chase & Co.,541.42B,1.24%,9309517,158.10B
3,MA,Mastercard Incorporated,447.30B,-0.76%,2172459,25.10B
4,BAC,Bank of America Corporation,281.62B,-0.78%,39801161,98.58B
5,WFC,Wells Fargo & Company,205.24B,0.24%,35708046,82.60B
6,AXP,American Express Company,159.59B,-0.91%,2891678,55.59B
7,BX,Blackstone Inc.,150.66B,0.14%,22331929,8.02B
8,HSBC,HSBC Holdings plc,146.20B,1.81%,2118397,66.06B
9,MS,Morgan Stanley,145.70B,-0.81%,10550659,54.14B
10,RY,Royal Bank of Canada,141.72B,-0.42%,509028,40.69B
11,HDB,HDFC Bank Limited,139.65B,-0.32%,1918195,13.76B
12,SPGI,S&P Global Inc.,132.80B,-0.16%,1182102,12.50B
13,GS,"The Goldman Sachs Group, Inc.",126.52B,-0.36%,1790770,46.25B
14,SCHW,The Charles Schwab Corporation,121.50B,0.66%,7828157,18.84B
15,MUFG,"Mitsubishi UFJ Financial Group, Inc.",121.47B,-0.88%,2952763,30.79B
16,BLK,"BlackRock, Inc.",120.46B,-0.78%,685499,17.86B
17,PGR,The Progressive Corporation,118.23B,1.49%,4072957,62.11B
18,C,Citigroup Inc.,109.12B,0.91%,17408191,78.46B
19,TD,The Toronto-Dominion Bank,106.70B,0.02%,1709138,36.86B
20,CB,Chubb Limited,104.54B,-0.52%,1574320,49.74B
21,MMC,"Marsh & McLennan Companies, Inc.",101.73B,-0.67%,1533745,22.74B
22,UBS,UBS Group AG,100.47B,1.98%,3562307,37.16B
23,IBN,ICICI Bank Limited,91.18B,-0.08%,3756313,22.65B
24,KKR,KKR & Co. Inc.,86.09B,-0.14%,1490800,14.50B
25,CME,CME Group Inc.,78.99B,-0.87%,3968299,5.58B
26,ICE,"Intercontinental Exchange, Inc.",77.25B,-0.60%,3188156,9.90B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",76.58B,-0.69%,1956928,28.63B
28,MCO,Moody's Corporation,70.00B,0.20%,667458,5.92B
29,SAN,"Banco Santander, S.A.",69.28B,0.91%,2444285,62.71B
30,BMO,Bank of Montreal,68.36B,0.09%,394903,24.15B
31,ITUB,Itaú Unibanco Holding S.A.,68.29B,-1.01%,9165255,21.85B
32,PYPL,"PayPal Holdings, Inc.",67.23B,-0.24%,19853707,29.77B
33,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",66.81B,3.08%,857741,35.66B
34,USB,U.S. Bancorp,66.24B,-0.64%,8245814,25.74B
35,BN,Brookfield Corporation,64.30B,-0.24%,2694403,95.62B
36,AON,Aon plc,63.55B,-0.46%,1407011,13.38B
37,APO,"Apollo Global Management, Inc.",62.09B,0.36%,3825672,32.64B
38,BNS,The Bank of Nova Scotia,60.50B,0.63%,1303944,24.42B
39,PNC,"The PNC Financial Services Group, Inc.",59.08B,0.20%,1345510,21.49B
40,NU,Nu Holdings Ltd.,55.38B,-0.09%,21774663,8.03B
41,AJG,Arthur J. Gallagher & Co.,55.26B,-0.68%,1352531,10.07B
42,COF,Capital One Financial Corporation,53.04B,-2.78%,2478488,26.36B
43,MET,"MetLife, Inc.",51.99B,0.68%,2494203,66.91B
44,AIG,"American International Group, Inc.",51.65B,0.55%,6246939,46.80B
45,TRV,"The Travelers Companies, Inc.",50.73B,-0.22%,1181838,41.36B
46,ING,ING Groep N.V.,50.41B,0.59%,3165914,24.54B
47,MFG,"Mizuho Financial Group, Inc.",49.96B,0.51%,639984,15.13B
