,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,722.82B,-0.86%,2342824,34.12B
1,NVO,Novo Nordisk A/S,599.88B,-1.64%,3631961,34.41B
2,UNH,UnitedHealth Group Incorporated,450.83B,0.37%,3481999,371.62B
3,JNJ,Johnson & Johnson,383.66B,-0.65%,7323629,85.16B
4,ABBV,AbbVie Inc.,317.35B,-1.83%,16675847,54.32B
5,MRK,"Merck & Co., Inc.",305.21B,0.84%,12718652,60.12B
6,TMO,Thermo Fisher Scientific Inc.,223.03B,-0.13%,1792114,42.86B
7,AZN,AstraZeneca PLC,207.63B,-1.09%,6027068,45.81B
8,ABT,Abbott Laboratories,206.23B,-2.83%,20618063,40.11B
9,NVS,Novartis AG,199.74B,-0.88%,1381503,46.66B
10,DHR,Danaher Corporation,187.31B,-1.51%,5373185,23.89B
11,PFE,Pfizer Inc.,157.91B,-0.68%,31375069,58.50B
12,AMGN,Amgen Inc.,145.52B,-0.98%,8761928,28.19B
13,ISRG,"Intuitive Surgical, Inc.",136.22B,3.11%,3889390,7.12B
14,SYK,Stryker Corporation,135.24B,-0.96%,1830554,20.50B
15,SNY,Sanofi,120.87B,0.42%,1265364,51.60B
16,ELV,Elevance Health Inc.,118.14B,0.49%,827890,171.34B
17,MDT,Medtronic plc,112.05B,-0.97%,8518723,32.32B
18,BMY,Bristol-Myers Squibb Company,106.14B,-0.29%,19286574,45.01B
19,VRTX,Vertex Pharmaceuticals Incorporated,105.59B,-0.26%,1894452,9.87B
20,REGN,"Regeneron Pharmaceuticals, Inc.",104.79B,0.57%,1071151,13.12B
21,CI,Cigna Corporation,102.18B,0.73%,2876794,195.27B
22,BSX,Boston Scientific Corporation,98.09B,-0.94%,7971402,14.24B
23,CVS,CVS Health Corporation,96.17B,1.28%,15049038,357.78B
24,GILD,"Gilead Sciences, Inc.",92.45B,-0.70%,13896205,27.12B
25,GSK,GSK plc,86.12B,-2.07%,3751683,38.39B
26,HCA,"HCA Healthcare, Inc.",85.90B,-0.87%,786552,64.97B
27,ZTS,Zoetis Inc.,79.61B,-0.75%,3154382,8.54B
28,MCK,McKesson Corporation,69.56B,0.81%,591897,301.51B
29,BDX,"Becton, Dickinson and Company",68.52B,-0.19%,1756746,19.49B
30,EW,Edwards Lifesciences Corporation,56.14B,-1.12%,3900358,6.00B
31,DXCM,"DexCom, Inc.",49.92B,0.74%,3953488,3.62B
32,IQV,IQVIA Holdings Inc.,46.28B,-0.61%,666234,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.57B,0.91%,2316596,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",44.50B,-1.08%,750769,3.66B
35,ALC,Alcon Inc.,42.76B,-1.09%,1000145,9.46B
36,A,"Agilent Technologies, Inc.",42.55B,1.56%,3450871,6.74B
37,HUM,Humana Inc.,42.06B,-0.21%,1166163,106.37B
38,CNC,Centene Corporation,40.68B,-0.76%,4915692,154.00B
39,GEHC,GE HealthCare Technologies Inc.,40.23B,1.22%,6520480,19.55B
40,MRNA,"Moderna, Inc.",39.53B,0.38%,5433508,6.85B
41,HLN,Haleon plc,39.10B,0.97%,4420076,14.31B
42,COR,Cencora,38.52B,0.23%,926670,271.58B
43,VEEV,Veeva Systems Inc.,37.43B,-2.36%,1016412,2.36B
44,BIIB,Biogen Inc.,31.92B,-0.14%,2402070,9.84B
45,WST,"West Pharmaceutical Services, Inc.",29.24B,-2.95%,485155,2.95B
46,RMD,ResMed Inc.,28.20B,-0.89%,896475,4.50B
47,MTD,Mettler-Toledo International Inc.,27.90B,2.03%,161502,3.79B
