,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,228.24B,-1.20%,23085399,32.85B
1,BHP,BHP Group Limited,144.52B,-0.66%,3407767,55.34B
2,RIO,Rio Tinto Group,100.56B,0.21%,2724215,54.04B
3,SHW,The Sherwin-Williams Company,85.10B,-0.08%,1020003,23.05B
4,SCCO,Southern Copper Corporation,75.13B,5.99%,2863503,9.90B
5,ECL,Ecolab Inc.,64.19B,0.83%,1337496,15.32B
6,FCX,Freeport-McMoRan Inc.,62.14B,2.98%,22727947,22.86B
7,CRH,CRH plc,59.34B,-1.37%,2074466,34.95B
8,APD,"Air Products and Chemicals, Inc.",54.49B,-0.21%,2139912,12.42B
9,VALE,Vale S.A.,51.91B,-1.24%,28400722,43.84B
10,NUE,Nucor Corporation,43.84B,3.51%,1763729,34.71B
11,DOW,Dow Inc.,40.45B,-0.49%,15324399,44.62B
12,NEM,Newmont Corporation,39.44B,-0.96%,15518425,11.81B
13,CTVA,"Corteva, Inc.",38.74B,-0.20%,2519785,17.23B
14,MLM,"Martin Marietta Materials, Inc.",37.50B,-1.69%,353462,6.78B
15,VMC,Vulcan Materials Company,35.80B,-1.43%,1158921,7.78B
16,PPG,"PPG Industries, Inc.",32.71B,-0.79%,4015131,18.25B
17,LYB,LyondellBasell Industries N.V.,32.45B,-0.09%,2411442,41.11B
18,DD,"DuPont de Nemours, Inc.",30.82B,-0.51%,4547490,12.07B
19,GOLD,Barrick Gold Corporation,27.79B,-,13400144,11.40B
20,AEM,Agnico Eagle Mines Limited,27.79B,0.58%,3704781,6.63B
21,NTR,Nutrien Ltd.,26.38B,1.26%,2074743,29.06B
22,PKX,POSCO Holdings Inc.,25.03B,-1.39%,67512,59.55B
23,TECK,Teck Resources Limited,23.06B,0.20%,4564533,11.29B
24,FNV,Franco-Nevada Corporation,22.10B,0.03%,374723,1.22B
25,MT,ArcelorMittal S.A.,21.49B,0.04%,1678533,68.28B
26,STLD,"Steel Dynamics, Inc.",20.90B,4.34%,2632848,18.80B
27,IFF,International Flavors & Fragrances Inc.,20.83B,1.53%,1602503,11.48B
28,WPM,Wheaton Precious Metals Corp.,20.40B,-1.33%,1789298,938.63M
29,RS,Reliance Steel & Aluminum Co.,18.33B,0.44%,231933,14.81B
30,WLK,Westlake Corporation,18.27B,3.00%,1084437,12.55B
31,JHX,James Hardie Industries plc,17.73B,-3.52%,31445,3.85B
32,CE,Celanese Corporation,17.18B,1.45%,1075711,10.94B
33,AVTR,"Avantor, Inc.",17.15B,-0.79%,2929364,6.97B
34,CF,"CF Industries Holdings, Inc.",15.74B,-0.54%,7279340,6.63B
35,SUZ,Suzano S.A.,15.34B,2.35%,2869999,8.16B
36,RPM,RPM International Inc.,14.92B,-0.09%,438940,7.34B
37,ALB,Albemarle Corporation,14.09B,1.88%,2369731,9.62B
38,SQM,Sociedad Química y Minera de Chile S.A.,14.06B,2.63%,883769,10.71B
39,GFI,Gold Fields Limited,13.15B,-0.74%,6697143,4.29B
40,CX,"CEMEX, SAB de CV",12.16B,-1.06%,12377574,15.58B
41,EMN,Eastman Chemical Company,10.70B,1.20%,1042651,9.21B
42,MOS,The Mosaic Company,10.18B,1.49%,4163797,13.70B
43,CLF,Cleveland-Cliffs Inc.,9.80B,0.51%,12282870,22.00B
44,AU,AngloGold Ashanti Limited,9.26B,-0.77%,2709225,4.50B
45,EXP,Eagle Materials Inc.,8.62B,-0.32%,261555,2.25B
46,X,United States Steel Corporation,8.56B,1.54%,9383544,18.05B
47,FMC,FMC Corporation,7.99B,1.53%,1728357,4.49B
48,TX,Ternium S.A.,7.80B,0.05%,141058,17.63B
49,GGB,Gerdau S.A.,7.42B,-1.89%,10472651,15.58B
50,RGLD,"Royal Gold, Inc.",7.34B,-0.11%,1134072,605.72M
51,AXTA,Axalta Coating Systems Ltd.,7.33B,0.60%,2723051,5.18B
52,SUM,"Summit Materials, Inc.",7.25B,-1.97%,1159216,2.62B
53,UFPI,"UFP Industries, Inc.",7.02B,1.43%,861658,7.22B
54,KGC,Kinross Gold Corporation,6.95B,0.71%,11176096,4.24B
55,OLN,Olin Corporation,6.93B,1.08%,1013077,6.83B
56,WFG,West Fraser Timber Co. Ltd.,6.57B,0.47%,126018,6.45B
57,ICL,ICL Group Ltd,6.31B,-1.84%,2021718,7.54B
58,CMC,Commercial Metals Company,6.19B,1.39%,1947242,8.58B
59,NEU,NewMarket Corporation,5.94B,0.46%,33249,2.70B
60,ESI,Element Solutions Inc,5.84B,-0.04%,605552,2.33B
61,AGI,Alamos Gold Inc.,5.42B,-,2099528,1.02B
62,AA,Alcoa Corporation,5.39B,1.40%,7777887,10.55B
63,PAAS,Pan American Silver Corp.,5.19B,2.40%,5119849,2.32B
64,BCC,Boise Cascade Company,5.06B,2.88%,345342,6.84B
65,BCPC,Balchem Corporation,4.97B,1.56%,328597,922.44M
66,SIM,"Grupo Simec, SAB de CV",4.94B,0.38%,332,2.78B
67,ALTM,Arcadium Lithium plc,4.88B,-,30473770,882.50M
68,ASH,Ashland Inc.,4.82B,0.69%,519023,2.14B
69,HMY,Harmony Gold Mining Company Limited,4.81B,-0.39%,7696604,168.40M
70,CBT,Cabot Corporation,4.80B,1.56%,652238,3.92B
71,SSL,Sasol Limited,4.79B,0.82%,466190,15.57B
72,BVN,Compania de Minas Buenaventura S.A.,4.39B,1.21%,7683052,824.80M
73,HUN,Huntsman Corporation,4.34B,0.40%,1066233,6.11B
74,KNF,Knife River Corporation,4.30B,-1.06%,531864,2.83B
75,FUL,H.B. Fuller Company,4.27B,1.59%,272555,3.51B
76,SID,Companhia Siderúrgica Nacional,4.12B,-2.26%,3429591,8.39B
77,AMR,"Alpha Metallurgical Resources, Inc.",3.95B,1.37%,709525,3.47B
78,CC,The Chemours Company,3.93B,1.84%,1669241,6.00B
79,AVNT,Avient Corporation,3.73B,0.54%,732164,3.14B
80,SMG,The Scotts Miracle-Gro Company,3.72B,4.82%,1276918,3.44B
81,STR,Sitio Royalties Corp.,3.67B,2.45%,580584,593.36M
82,KWR,Quaker Chemical Corporation,3.58B,0.51%,56260,1.95B
83,WDFC,WD-40 Company,3.43B,-1.31%,151583,552.78M
84,BTG,B2Gold Corp.,3.36B,2.34%,51987246,1.93B
85,BAK,Braskem S.A.,3.28B,2.40%,1295759,18.25B
86,SBSW,Sibanye Stillwater Limited,3.25B,-0.88%,6980391,8.13B
87,IOSP,Innospec Inc.,3.05B,-0.49%,347609,1.95B
88,OR,Osisko Gold Royalties Ltd,2.94B,0.63%,1382810,185.95M
89,CSTM,Constellium SE,2.91B,-0.05%,417738,8.04B
90,MEOH,Methanex Corporation,2.88B,0.82%,133051,3.72B
91,SXT,Sensient Technologies Corporation,2.88B,1.49%,493305,1.46B
92,HCC,"Warrior Met Coal, Inc.",2.81B,1.38%,1237655,1.68B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,-0.67%,190707,204.02M
94,HL,Hecla Mining Company,2.70B,0.93%,6321476,720.23M
95,MTRN,Materion Corporation,2.68B,-0.30%,101718,1.67B
96,EGO,Eldorado Gold Corporation,2.63B,2.04%,1550873,1.01B
97,SLVM,Sylvamo Corporation,2.55B,-6.57%,826472,3.72B
98,TROX,Tronox Holdings plc,2.54B,-0.55%,949877,2.85B
99,HBM,Hudbay Minerals Inc.,2.37B,2.97%,3300221,1.69B
100,MTX,Minerals Technologies Inc.,2.35B,0.99%,109317,2.17B
101,MP,MP Materials Corp.,2.26B,0.65%,2572364,253.45M
102,TGLS,Tecnoglass Inc.,2.14B,0.75%,295499,833.27M
103,SCL,Stepan Company,1.93B,1.49%,84403,2.33B
104,ERO,Ero Copper Corp.,1.88B,4.44%,464568,427.48M
105,USLM,"United States Lime & Minerals, Inc.",1.68B,-0.92%,79080,281.33M
106,EQX,Equinox Gold Corp.,1.62B,4.62%,2985359,1.09B
107,NGVT,Ingevity Corporation,1.61B,2.07%,181849,1.69B
108,SGML,Sigma Lithium Corporation,1.56B,-9.19%,2617786,129.93M
109,HWKN,"Hawkins, Inc.",1.56B,2.26%,1130167,924.29M
110,AG,First Majestic Silver Corp.,1.56B,4.44%,9109901,573.80M
111,IAG,IAMGOLD Corporation,1.53B,0.33%,9513495,987.10M
112,SAND,Sandstorm Gold Ltd.,1.45B,2.86%,2837102,179.64M
113,WS,"Worthington Steel, Inc.",1.40B,-0.69%,235064,-
114,GPRE,Green Plains Inc.,1.30B,0.25%,1344557,3.30B
115,KRO,"Kronos Worldwide, Inc.",1.29B,0.54%,297199,1.67B
116,OEC,Orion Engineered Carbons S.A.,1.29B,1.70%,391276,1.89B
117,KALU,Kaiser Aluminum Corporation,1.23B,1.57%,961761,3.09B
118,CDE,"Coeur Mining, Inc.",1.22B,2.84%,10136096,821.21M
119,CGAU,Centerra Gold Inc.,1.22B,-0.18%,286937,1.09B
120,ORLA,Orla Mining Ltd.,1.18B,-0.54%,3474177,227.46M
121,NGD,New Gold Inc.,1.16B,-0.60%,24870978,786.50M
122,SA,Seabridge Gold Inc.,1.12B,0.68%,231371,-
123,KOP,Koppers Holdings Inc.,1.11B,0.49%,108984,2.15B
