,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",120.93B,-0.59%,4021196,8.02B
1,AMT,American Tower Corporation,92.89B,-0.93%,2314852,11.14B
2,EQIX,"Equinix, Inc.",81.82B,-1.66%,1083391,8.19B
3,SPG,"Simon Property Group, Inc.",55.98B,0.94%,1829527,5.66B
4,WELL,Welltower Inc.,52.17B,-0.38%,5501132,6.64B
5,PSA,Public Storage,49.44B,-1.28%,907389,4.52B
6,CCI,Crown Castle Inc.,46.11B,-0.40%,2873779,6.98B
7,DLR,"Digital Realty Trust, Inc.",45.52B,-1.37%,2495084,5.48B
8,O,Realty Income Corporation,44.49B,1.03%,5846612,4.08B
9,CSGP,"CoStar Group, Inc.",35.89B,8.32%,9194531,2.46B
10,EXR,Extra Space Storage Inc.,31.14B,-2.09%,1436406,2.56B
11,VICI,VICI Properties Inc.,30.05B,0.38%,9093784,3.61B
12,CBRE,"CBRE Group, Inc.",28.54B,-0.08%,2675408,31.95B
13,AVB,"AvalonBay Communities, Inc.",25.90B,0.79%,1122506,2.77B
14,WY,Weyerhaeuser Company,24.97B,0.20%,3777640,7.67B
15,EQR,Equity Residential,23.67B,1.06%,1589424,2.87B
16,SBAC,SBA Communications Corporation,23.37B,-0.30%,1100643,2.71B
17,IRM,Iron Mountain Incorporated,22.81B,0.72%,1926601,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",21.60B,0.21%,1187844,2.89B
19,KSPI,Joint Stock Company Kaspi.kz,21.36B,-1.93%,219622,4.25B
20,INVH,Invitation Homes Inc.,21.20B,0.26%,2796060,2.43B
21,BEKE,KE Holdings Inc.,18.50B,0.07%,8040931,10.22B
22,SUI,"Sun Communities, Inc.",17.37B,-0.08%,506500,3.22B
23,VTR,"Ventas, Inc.",17.14B,-0.26%,2481654,4.50B
24,ESS,"Essex Property Trust, Inc.",15.76B,0.82%,309922,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",15.55B,0.05%,614183,2.15B
26,AMH,American Homes 4 Rent,15.16B,-0.11%,4328461,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.75B,-0.77%,10568104,5.31B
28,UDR,"UDR, Inc.",13.04B,1.36%,2221233,1.63B
29,ELS,"Equity LifeStyle Properties, Inc.",12.78B,-0.38%,928941,1.49B
30,KIM,Kimco Realty Corporation,12.65B,0.43%,4542167,1.78B
31,DOC,"Healthpeak Properties, Inc.",12.21B,1.95%,9496907,2.18B
32,GLPI,"Gaming and Leisure Properties, Inc.",12.20B,-0.27%,3104544,1.44B
33,WPC,W. P. Carey Inc.,12.11B,0.85%,2777729,1.74B
34,LAMR,Lamar Advertising Company,11.96B,-0.31%,653514,2.11B
35,REXR,"Rexford Industrial Realty, Inc.",11.36B,-0.45%,1142984,797.83M
36,REG,Regency Centers Corporation,11.00B,-0.30%,1938249,1.32B
37,CPT,Camden Property Trust,10.47B,0.58%,1382413,1.56B
38,CUBE,CubeSmart,9.88B,-1.99%,1794174,1.05B
39,BXP,"Boston Properties, Inc.",9.83B,-,2014554,3.27B
40,NLY,"Annaly Capital Management, Inc.",9.71B,0.36%,3909700,-1.44B
41,JLL,Jones Lang LaSalle Incorporated,8.76B,-0.57%,299952,20.76B
42,EGP,"EastGroup Properties, Inc.",8.60B,-1.75%,876512,570.59M
43,FRT,Federal Realty Investment Trust,8.31B,-0.22%,390556,1.13B
44,OHI,"Omega Healthcare Investors, Inc.",7.79B,-0.39%,975914,949.74M
45,FSV,FirstService Corporation,7.66B,-1.72%,65725,4.33B
46,NNN,NNN REIT Inc,7.51B,0.95%,1066695,828.11M
47,COLD,"Americold Realty Trust, Inc.",7.23B,-0.55%,2755249,2.67B
48,FR,"First Industrial Realty Trust, Inc.",7.14B,-0.72%,601276,614.03M
49,STAG,"STAG Industrial, Inc.",6.94B,-0.29%,901394,707.84M
