,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",122.30B,0.91%,19015197,28.11B
1,SO,The Southern Company,75.69B,-0.42%,4994876,25.25B
2,DUK,Duke Energy Corporation,73.27B,-0.36%,5719879,29.06B
3,CEG,Constellation Energy Corporation,52.14B,0.53%,4679101,24.92B
4,NGG,National Grid plc,50.28B,0.65%,281911,26.10B
5,SRE,Sempra,44.39B,-0.30%,4923889,16.72B
6,AEP,"American Electric Power Company, Inc.",43.11B,0.31%,5331900,18.98B
7,PCG,PG&E Corporation,42.41B,0.49%,14979895,24.43B
8,D,"Dominion Energy, Inc.",39.87B,0.48%,5710992,14.39B
9,EXC,Exelon Corporation,36.54B,-0.25%,14709662,21.73B
10,PEG,Public Service Enterprise Group Incorporated,31.90B,-0.33%,3320895,11.24B
11,ED,"Consolidated Edison, Inc.",30.64B,0.30%,1705326,14.66B
12,XEL,Xcel Energy Inc.,28.80B,0.21%,9233947,14.21B
13,EIX,Edison International,26.32B,0.51%,1892071,16.34B
14,WEC,"WEC Energy Group, Inc.",25.36B,0.50%,3716208,8.89B
15,AWK,"American Water Works Company, Inc.",23.07B,-1.13%,2013464,4.23B
16,DTE,DTE Energy Company,22.64B,0.10%,2119469,12.75B
17,FE,FirstEnergy Corp.,21.84B,-0.18%,3056095,12.87B
18,VST,Vistra Corp.,21.82B,-2.46%,4413292,14.78B
19,ETR,Entergy Corporation,21.81B,-0.52%,1572456,12.15B
20,ES,Eversource Energy,20.55B,-0.24%,2175025,11.91B
21,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,20.20B,-2.61%,1356585,6.75B
22,PPL,PPL Corporation,19.61B,0.23%,4643421,8.31B
23,FTS,Fortis Inc.,19.24B,0.84%,689156,8.66B
24,AEE,Ameren Corporation,19.01B,0.28%,3307674,7.50B
25,ELPC,Cia Paranaense De Energia Copel,18.66B,-6.06%,121714,4.15B
26,CNP,"CenterPoint Energy, Inc.",17.62B,-0.07%,5269776,8.70B
27,ATO,Atmos Energy Corporation,17.33B,-0.30%,1633018,3.95B
28,CMS,CMS Energy Corporation,17.16B,-0.81%,2671659,7.46B
